0.330 0.122 0.888 0.611 -0.204 -0.592 -0.904 -0.483 -0.871 -0.888 -0.655 -0.537 -0.898 -0.471 -0.240 -0.760 
-0.917 -0.870 -0.905 -0.995 0.545 0.950 0.896 0.731 -0.855 -0.810 -0.625 -0.250 -0.921 -0.763 -0.456 -0.930 
-0.769 -0.486 -0.570 -0.468 -0.664 -0.745 -0.333 -0.940 0.645 0.777 0.878 0.461 -0.619 -0.662 -0.900 -0.797 
-0.217 -0.479 -0.992 -0.193 -0.961 -0.263 -0.773 -0.290 -0.779 -0.430 -0.990 -0.546 0.642 0.883 0.370 0.238 
0.865 0.638 0.843 0.597 -0.903 -0.839 -0.712 -0.590 -0.952 -0.276 -0.469 -0.063 -0.175 -0.725 -0.259 -0.470 
-0.698 -0.844 -0.663 -0.782 0.530 0.906 0.562 0.804 -0.168 -0.998 -0.387 -0.583 -0.820 -0.325 -0.400 -0.273 
-0.794 -0.850 -0.952 -0.618 -0.864 -0.999 -0.784 -0.683 -0.106 0.698 0.732 0.004 -0.487 -0.917 -0.986 -0.593 
-0.863 -0.625 -0.710 -0.903 -0.634 -0.519 -0.847 -0.702 -0.965 -0.987 -0.553 -0.271 0.452 0.909 0.508 0.573 
0.366 0.612 0.611 0.794 -0.984 -0.847 -0.669 -0.316 -0.858 -0.985 -0.866 -0.032 -0.550 -0.644 -0.822 -0.657 
-0.733 -0.458 -0.880 -0.684 0.535 0.843 0.959 0.372 -0.870 -0.666 -0.199 -0.750 -0.674 -0.368 -0.608 -0.711 
-0.530 -0.325 -0.989 -0.542 -0.676 -0.406 -0.669 -0.528 0.591 0.949 0.837 0.600 -0.954 -0.921 -0.973 -0.723 
-0.894 -0.609 -0.935 -0.332 -0.445 -1.00 -0.596 -0.101 -0.423 -0.896 -0.600 -0.673 0.179 0.183 0.414 0.667 
0.946 0.801 0.656 0.472 -0.877 -0.942 -0.439 -0.456 -0.261 -0.507 -0.611 -0.937 -0.951 -0.577 -0.897 -0.487 
-0.754 -0.586 -0.927 -0.607 0.690 0.416 0.553 0.866 -0.563 -0.318 -0.611 -0.880 -0.358 -0.921 -0.809 -0.915 
-0.286 0.229 -0.935 -0.573 -0.436 -0.990 -0.874 -0.979 0.343 0.605 0.718 0.361 -0.238 -0.866 -0.282 -0.685 
-0.505 -0.606 -0.666 -0.787 -0.897 -0.702 -0.413 -0.679 -0.355 -0.436 -0.903 -0.194 0.668 0.547 0.982 0.900 
0.885 0.406 0.428 0.202 -0.827 -0.705 -0.938 -0.604 -0.574 -0.715 -0.883 -0.514 -0.850 -0.423 -0.792 -0.818 
-0.658 -0.633 -0.239 -0.628 0.692 0.882 0.455 0.913 -0.638 -0.338 -0.547 -0.664 -0.444 -0.556 -0.710 -0.508 
-0.707 -0.707 -0.717 -0.257 -0.619 -0.277 -0.877 -0.444 0.456 0.653 0.399 0.231 -0.936 -0.957 -0.875 -0.754 
-0.744 -0.732 -0.960 -0.490 -0.944 -0.698 -0.349 -0.806 -0.390 -0.493 -0.884 -0.973 0.727 0.964 0.874 0.473 
1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 
-1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 
-1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 -1.000 -1.000 -1.000 -1.000 
-1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 -1.000 1.000 1.000 1.000 1.000 
