nLayers: 3
35
4
4
acceptableErrpr: 0.1
learningConstant: 0.3
Momentum: 0.8
samadCoefficient: 0.5
nPatterns: 10
width: 5
depth: 7
outputWidth: 4
outputDepth: 1
0  0  1  0  0
0  1  0  1  0
1  0  0  0  1
1  0  0  0  1
1  1  1  1  1
1  0  0  0  1
1  0  0  0  1
0  0  0  1
1  1  1  1  0
1  0  0  0  1
1  0  0  0  1
1  1  1  1  0
1  0  0  0  1
1  0  0  0  1
1  1  1  1  0
0  0  1  0
0  1  1  1  0
1  0  0  0  1
1  0  0  0  0
1  0  0  0  0
1  0  0  0  0
1  0  0  0  1
0  1  1  1  0
0  0  1  1
1  1  1  1  0
1  0  0  0  1
1  0  0  0  1
1  0  0  0  1
1  0  0  0  1
1  0  0  0  1
1  1  1  1  0
0  1  0  0
1  1  1  1  1
1  0  0  0  0
1  0  0  0  0
1  1  1  0  0
1  0  0  0  0
1  0  0  0  0
1  1  1  1  1
0  1  0  1
1  1  1  1  1
1  0  0  0  0
1  0  0  0  0
1  1  1  0  0
1  0  0  0  0
1  0  0  0  0
1  0  0  0  0
0  1  1  0
0  1  1  1  0
1  0  0  0  1
1  0  0  0  0
1  0  0  0  0
1  0  0  1  1
1  0  0  0  1
0  1  1  1  0
0  1  1  1
1  0  0  0  1
1  0  0  0  1
1  0  0  0  1
1  1  1  1  1
1  0  0  0  1
1  0  0  0  1
1  0  0  0  1
1  0  0  0
0  1  1  1  0
0  0  1  0  0
0  0  1  0  0
0  0  1  0  0
0  0  1  0  0
0  0  1  0  0
0  1  1  1  0
1  0  0  1
0  0  0  0  1
0  0  0  0  1
0  0  0  0  1
0  0  0  0  1
1  0  0  0  1
1  0  0  0  1
0  1  1  1  0
1  0  1  0































